airport,lat,long
ACK,41.25666667,-70.05972222
ACT,31.61138889,-97.22861111
ACU,8.43333333,-77.96666667
ACV,40.97916667,-124.1075
ACY,39.45611111,-74.57805556
ADC,-7.13611111,145.7441667
ADK,51.88277778,-176.6447222
ADM,34.30305556,-97.01972222
ADN,5.66666667,-75.88333333
ADQ,57.75,-152.4938889
ADS,32.96833333,-96.83611111
ADW,38.81083333,-76.86722222
ADZ,12.58333333,-81.7
AED,58.03333333,-152.9
AEG,1.4,99.43055556
AEO,16.70916667,-9.63555556
AEP,-34.55888889,-58.41583333
AET,66.56166667,-152.6583333
AEX,31.32416667,-92.54694444
AFA,-34.58916667,-68.40055556
AFF,38.96972222,-104.8125
AFK,40.60694444,-95.86583333
AFO,42.71666667,-110.9333333
AFP,35.02388889,-80.08138889
AFW,32.98666667,-97.3175
AGA,30.38055556,-9.54583333
AGC,40.35472222,-79.93
AGG,-4.06583333,144.0738889
AGK,-6.40333333,143.8466667
AGL,-9.34027778,149.1552778
AGN,57.50388889,-134.5833333
AGR,27.15833333,77.96277778
AGS,33.36916667,-81.96444444
AGT,-25.45555556,-54.84361111
AGU,21.70555556,-102.3177778
AGX,10.83333333,72.2
AHD,34.14694444,-97.12277778
AHN,33.94833333,-83.32694444
AHT,51.37861111,179.2586111
AHU,35.17972222,-3.83694444
AIA,42.05166667,-102.8066667
AIB,56.19,-132.4458333
AID,40.10861111,-85.61305556
AIK,33.65,-81.68472222
AIN,70.63055556,-160.0430556
AIT,-18.85,-159.75
AIY,39.36,-74.46
AIZ,38.09833333,-92.54722222
AJJ,19.73055556,-14.37444444
AJL,23.84055556,92.61972222
AJN,-12.12638889,44.42972222
AKB,52.22027778,-174.2069444
AKC,41.0375,-81.46694444
AKI,60.90555556,-161.2233333
AKK,56.945,-154.1666667
AKL,-37.01111111,174.7991667
AKN,58.67777778,-156.6516667
AKO,40.17555556,-103.2222222
AKP,68.1375,-151.74
AL1,34.22916667,-86.25583333
AL2,33.17694444,-86.78277778
AL3,34.86138889,-86.5575
ALB,42.74583333,-73.80527778
ALE,30.38416667,-103.6830556
ALG,36.69333333,3.21722222
ALI,27.74083333,-98.02722222
ALM,32.83972222,-105.99
ALN,38.89166667,-90.04833333
ALO,42.55611111,-92.39972222
ALR,-45.21388889,169.3694444
ALS,37.43666667,-105.8666667
ALW,46.09472222,-118.2911111
ALX,32.91666667,-85.96666667
ALZ,56.89583333,-154.2458333
AMA,35.22722222,-101.7219444
AMD,23.06638889,72.62416667
AMF,-4.10166667,141.6697222
AMG,-4.6,143.5
AMI,-8.56,116.0969444
AMK,37.20388889,-107.8686111
AML,8.26555556,-82.86555556
AMN,43.32083333,-84.68666667
AMP,-24.69944444,44.73305556
AMQ,-3.71027778,128.0897222
AMS,52.30833333,4.76805556
AMW,41.99416667,-93.61833333
AMY,-17.68555556,45.62527778
ANA,33.81666667,-117.9333333
ANB,33.59027778,-85.85583333
ANC,61.16916667,-149.9852778
AND,34.49361111,-82.71
ANI,61.58166667,-159.5430556
ANM,-15,50.32138889
ANN,55.03694444,-131.5705556
ANO,-16.17777778,39.93694444
ANP,38.94277778,-76.56888889
ANV,62.64777778,-160.1888889
AOH,40.70833333,-84.02666667
AOL,-29.69,-57.14861111
AOO,40.29722222,-78.32
AOR,6.19111111,100.4038889
AOS,57.45472222,-153.8130556
APA,39.57277778,-104.8477778
APC,38.21222222,-122.28
APF,26.15277778,-81.77527778
APG,39.46611111,-76.16972222
APL,-15.10166667,39.28722222
APN,45.08166667,-83.55583333
APO,7.03333333,-77.2
APR,-4.67361111,142.5377778
APT,35.06055556,-85.58527778
APV,34.52638889,-117.2127778
AQY,60.96666667,-149.1236111
AR1,35.26472222,-93.09388889
AR2,35.08083333,-92.425
ARA,30.03777778,-91.88388889
ARB,42.22277778,-83.74444444
ARC,68.1375,-145.5244444
ARD,-8.25,124.75
ARG,36.125,-90.92638889
ARP,-9.87055556,149.4836111
ARQ,7.02111111,-71.38888889
ART,43.99083333,-76.02138889
ARV,45.92805556,-89.73083333
ARX,40.18333333,-74.11666667
ASE,39.22416667,-106.8688889
ASG,-43.905,171.7966667
ASH,42.77888889,-71.50944444
ASK,6.90555556,-5.36416667
ASL,32.52166667,-94.30805556
ASN,33.56972222,-86.05083333
ASQ,39.46888889,-117.1961111
AST,46.15972222,-123.88
ASU,-25.23916667,-57.51916667
ASX,46.54861111,-90.91861111
ASY,46.02388889,-99.35277778
ATE,34.19277778,-95.64972222
ATK,70.4675,-157.4519444
ATL,33.64083333,-84.42722222
ATN,-3.67138889,152.4363889
ATO,39.21083333,-82.23166667
ATP,-3.1425,142.3466667
ATQ,31.70694444,74.79722222
ATR,20.49944444,-13.04638889
ATS,32.84833333,-104.4669444
ATT,60.8675,-162.2708333
ATU,52.82583333,173.1727778
ATW,44.25777778,-88.52
ATY,44.90888889,-97.15416667
AUA,12.50222222,-70.01388889
AUC,7.07027778,-70.74055556
AUG,44.31805556,-69.79666667
AUK,62.68916667,-164.6108333
AUM,43.66444444,-92.93388889
AUN,38.95277778,-121.0819444
AUO,32.61527778,-85.43194444
AUP,-9.91666667,149.3333333
AUS,30.19444444,-97.67
AUW,44.92333333,-89.62305556
AUY,-20.25333333,169.7613889
AUZ,41.77083333,-88.47277778
AVL,35.435,-82.54111111
AVO,27.5925,-81.52694444
AVP,41.33916667,-75.72583333
AVW,32.40916667,-111.2180556
AVX,33.405,-118.4158333
AWM,35.135,-90.23444444
AWR,-4.12416667,144.8702778
AWX,32.32944444,-102.5302778
AXB,44.31666667,-75.89972222
AXM,4.45638889,-75.76805556
AXN,45.86722222,-95.39416667
AXS,34.69805556,-99.33805556
AXV,40.49333333,-84.29888889
AXX,36.42055556,-105.2894444
AYS,31.24916667,-82.39555556
AYW,-1.14166667,132.4783333
AZ1,35.65083333,-112.1480556
AZ2,35.30222222,-112.1941667
AZ3,33.52722222,-112.2952778
AZA,33.30777778,-111.6555556
AZG,19.09361111,-102.3936111
AZO,42.23638889,-85.55361111
B19,43.46416667,-70.4725
B21,45.08611111,-70.21611111
BAA,-5.31666667,151.0333333
BAB,39.13611111,-121.4355556
BAC,4.56916667,-72.96722222
BAD,32.50166667,-93.6625
BAF,42.16,-72.71638889
BAI,9.16583333,-83.3325
GYD,40.4675,50.04666667
BAM,40.5975,-116.8722222
BAQ,10.89611111,-74.77888889
BAR,55.36666667,-133.6
BBC,28.97305556,-95.86333333
BBF,42.50833333,-71.18333333
BBI,20.24361111,85.82
BBX,40.13666667,-75.2675
BCB,37.20722222,-80.40694444
BCC,57.6175,-155.8672222
BCE,37.70638889,-112.1447222
BCJ,37.96666667,-105.7666667
BCL,10.76777778,-83.58583333
BCS,29.86611111,-90.02222222
BCT,26.37083333,-80.10833333
BDE,48.72083333,-94.6
BDG,37.58277778,-109.4825
BDJ,-3.44222222,114.7627778
BDK,8.01833333,-2.75833333
BDL,41.93861111,-72.68333333
BDN,24.84166667,68.83888889
BDO,-6.90166667,107.5758333
BDP,26.57166667,88.08
BDQ,22.32916667,73.22083333
BDR,41.16416667,-73.12444444
BDY,43.0875,-124.4083333
BED,42.47083333,-71.29
BEH,42.12777778,-86.42833333
BET,60.78444444,-161.8313889
BEW,-19.79444444,34.91194444
BFB,58.18333333,-152.1333333
BFD,41.80222222,-78.63944444
BFF,41.87527778,-103.6011111
BFI,47.52888889,-122.2994444
BFK,39.70166667,-104.7516667
BFL,35.43,-119.0522222
BFM,30.62638889,-88.06805556
BFP,40.77222222,-80.39111111
BFQ,7.58333333,-78.2
BFR,38.84,-86.44527778
BFT,32.41194444,-80.63472222
BGA,7.12611111,-73.18472222
BGB,-0.10666667,11.93888889
BGD,35.70083333,-101.3930556
BGE,30.97166667,-84.6375
BGL,28.21361111,83.66527778
BGM,42.20138889,-75.96916667
BGQ,61.53583333,-149.8125
BGR,44.80777778,-68.82777778
BGS,32.21444444,-101.525
BGT,34.59333333,-113.1708333
BHB,44.44888889,-68.36166667
IFP,35.16333333,-114.5644444
BHE,-41.51666667,173.8722222
BHI,-38.73055556,-62.15055556
BHJ,23.2875,69.67055556
BHL,28.97555556,-113.5633333
BHM,33.56305556,-86.75555556
BHO,23.28472222,77.33861111
BHR,27.67638889,84.4325
BHU,21.755,72.18444444
BHV,29.34444444,71.7125
BIC,57.66666667,-157.5833333
BID,41.16666667,-71.57916667
BIE,40.29888889,-96.75333333
BIF,31.84944444,-106.3794444
BIG,63.99361111,-145.7188889
BIH,37.37333333,-118.365
BII,11.52166667,165.5644444
BIK,-1.18666667,136.0855556
BIL,45.80694444,-108.5427778
BIR,26.43472222,87.28333333
BIS,46.77888889,-100.7525
BIX,30.41111111,-88.92361111
BJC,39.90888889,-105.1172222
BJI,47.50972222,-94.93472222
BJJ,40.87472222,-81.88694444
BJU,29.50194444,81.66861111
BJX,20.99138889,-101.48
BKC,65.97888889,-161.1266667
BKE,44.83833333,-117.81
BKF,58.6,-156.2333333
BKG,36.53194444,-93.20055556
BKI,5.94083333,116.05
BKL,41.51694444,-81.68333333
BKM,3.985,115.62
BKO,12.53361111,-7.95
BKS,-3.86472222,102.3383333
BKU,-23.73222222,44.39111111
BKW,37.78194444,-81.12416667
BKX,44.30333333,-96.81111111
BKY,-2.30888889,28.80888889
BLB,8.97083333,-79.55638889
BLC,5.89166667,10.025
BLD,35.9475,-114.8611111
BLF,37.29583333,-81.20805556
BLG,2.64444444,113.7625
BLH,33.62083333,-114.7188889
BLI,48.79444444,-122.5347222
BLJ,35.75194444,6.30944444
BLL,55.74027778,9.15277778
BLM,40.18666667,-74.125
BLR,12.94972222,77.66805556
BLV,38.54277778,-89.85111111
BLZ,-15.67472222,34.97083333
BMB,2.19,22.47333333
BMC,41.54916667,-112.0622222
BMD,-19.68666667,44.54222222
BMG,39.14,-86.61472222
BMH,-6.37611111,144.6352778
BMI,40.48194444,-88.9275
BML,44.57472222,-71.17638889
BMM,2.07583333,11.49083333
BMW,21.37527778,0.92722222
BMX,59.36194444,-155.2566667
BNA,36.12666667,-86.68194444
BNB,-0.23305556,20.87
BNF,57.08916667,-134.8313889
BNG,33.92305556,-116.8505556
BNL,33.25777778,-81.38833333
BNO,43.59055556,-118.9541667
BNZ,-5.80833333,144.6113889
BOA,-5.85027778,13.06555556
BOC,9.34,-82.25194444
BOG,4.70611111,-74.14222222
BOI,43.56527778,-116.225
BOK,42.07472222,-124.2888889
BOM,19.08805556,72.85166667
BOQ,-6.54305556,155.3430556
BOS,42.36361111,-71.00611111
BOW,27.94333333,-81.78361111
BPN,-1.26833333,116.8944444
BPT,29.95083333,-94.02
BQK,31.25888889,-81.46638889
BQV,58.45555556,-135.8833333
BRC,-41.14972222,-71.15833333
BRD,46.39722222,-94.1375
BRG,37.11666667,-82.81666667
BRL,40.78611111,-91.12333333
BRO,25.90638889,-97.42555556
BRW,71.28555556,-156.7661111
BRY,37.81444444,-85.49972222
BSK,34.79333333,5.73805556
#N/A,30.19472222,-97.67666667
BSQ,31.37055556,-109.8825
BSU,1.22166667,19.78888889
BSW,60.42361111,-146.1444444
A2K,58.23361111,-157.3502778
BTA,4.54083333,13.7275
BTH,1.13055556,104.1341667
BTI,70.13472222,-143.5783333
BTJ,5.52,95.41944444
BTL,42.30916667,-85.24777778
BTM,45.95111111,-112.4938889
BTP,40.77694444,-79.95
BTR,30.53166667,-91.15055556
BTT,66.91527778,-151.5263889
BTU,3.34166667,113.0447222
BTV,44.47277778,-73.15305556
BTY,36.86111111,-116.7852778
BUA,-5.41666667,154.6833333
BUE,-34.68944444,-58.475
BUF,42.94111111,-78.73638889
BUL,-7.18972222,146.6477778
BUM,38.28972222,-94.34
BUN,3.825,-76.99583333
BUR,34.2,-118.3577778
BUU,6.26666667,-7.05
BUX,1.57166667,30.21277778
BVD,53.8325,-166.3025
BVO,36.7625,-96.01083333
BVR,45.69361111,-85.56583333
BVX,35.72611111,-91.6475
BVY,42.58333333,-70.91555556
BWA,27.50416667,83.42
BWD,31.79472222,-98.95666667
BWG,36.96222222,-86.42222222
BWH,5.46666667,100.3925
BWI,39.17555556,-76.67138889
BWJ,-6.4,146.9
BWM,46.1875,-103.4208333
BWS,48.98972222,-122.7305556
BXC,42.48472222,-71.54444444
BXD,-7.16388889,139.5772222
BXS,33.25972222,-116.3222222
BYA,64.07638889,-141.1144444
RKH,34.98777778,-81.05722222
BYG,44.38138889,-106.7211111
BYH,35.96416667,-89.94583333
BYI,42.54138889,-113.7741667
BYK,7.73944444,-5.06916667
MI5,45.16583333,-84.92416667
BYW,48.57916667,-122.825
BZN,45.78027778,-111.1594444
BZS,38.86333333,-77.01333333
BZT,28.98222222,-95.57972222
BZV,-4.25194444,15.25472222
C01,34.21388889,-119.0944444
C02,35.32472222,-118.9958333
CA1,64.69,-110.62
CA2,44.48527778,-79.55555556
CA3,46.05166667,-71.25722222
CA4,41.77833333,-82.67805556
CA5,51.10305556,-114.3744444
CAD,44.27583333,-85.41916667
CAE,33.93638889,-81.11583333
CAK,40.91388889,-81.44166667
CAR,46.87083333,-68.02083333
CAS,33.55694444,-7.66055556
CBA,57.73777778,-135.1255556
CBE,39.61444444,-78.76611111
CBF,41.25888889,-95.75972222
CBH,31.64777778,-2.25972222
CBK,39.40388889,-101.0466667
CBM,33.64361111,-88.44388889
CCJ,11.13694444,75.95111111
CCK,-12.18861111,96.83055556
CCR,37.98888889,-122.0555556
CCU,22.6525,88.44916667
CCY,43.0725,-92.61083333
CDB,55.19972222,-162.7197222
CDC,37.7025,-113.0961111
CDH,33.6175,-92.76333333
CDL,65.90805556,-161.9383333
CDN,34.26666667,-80.6
CDR,42.835,-103.0977778
CDV,60.49305556,-145.47
CDW,40.87555556,-74.28138889
CEA,37.64861111,-97.25027778
CEC,41.78,-124.2358333
CEF,42.19777778,-72.53055556
CEM,65.57472222,-144.7819444
CEN,27.3925,-109.8319444
CEU,34.67444444,-82.89027778
CEV,39.69861111,-85.13166667
CEW,30.77972222,-86.5225
CEX,65.05277778,-146.045
CEY,36.66555556,-88.37111111
CEZ,37.30277778,-108.6272222
CFA,58.21666667,-157.5
CFQ,61.02888889,-138.4075
CFT,32.95722222,-109.205
CFV,37.09388889,-95.57166667
CGA,55.47916667,-133.1461111
CGC,-5.45916667,148.4325
CGE,38.53944444,-76.02777778
CGF,41.56527778,-81.48666667
CGI,37.22361111,-89.57166667
CGK,-6.12583333,106.6577778
CGS,38.98055556,-76.92277778
CGX,41.85888889,-87.60833333
CGZ,32.95472222,-111.7661111
CHA,35.03638889,-85.20361111
CHC,-43.48833333,172.5333333
CHD,33.26888889,-111.8111111
CHI,41.87388889,-87.75555556
CHL,44.51916667,-114.22
CHO,38.14138889,-78.45305556
CHP,65.48555556,-144.6108333
CHS,32.89916667,-80.03888889
CHT,-43.81194444,-176.4655556
CHU,61.57194444,-159.245
CHX,9.42611111,-82.56277778
CHZ,42.57638889,-121.8769444
AVX,33.405,-118.4158333
CIC,39.79583333,-121.8566667
CID,41.88444444,-91.70611111
CIG,40.49555556,-107.525
CIK,66.64805556,-143.7291667
CIL,64.90805556,-163.7330556
CIN,42.04722222,-94.79055556
CIR,37.06111111,-89.21805556
CIU,46.24222222,-84.46611111
CIV,55.24777778,-132.3236111
CJB,11.02833333,77.04333333
CJI,60.50277778,-147.9402778
CJL,35.88611111,71.79444444
CJS,31.63722222,-106.4286111
CJW,39.38722222,-97.15722222
CKB,39.29555556,-80.22944444
CKD,61.88555556,-158.1372222
CKE,38.93472222,-122.6222222
CKM,34.29972222,-90.51222222
CUN,21.04222222,-86.87361111
CKU,60.5425,-145.7266667
CKV,36.62083333,-87.41444444
CKX,64.06777778,-141.9491667
CLC,29.55694444,-95.1375
CLD,33.12861111,-117.2797222
CLE,41.41083333,-81.84944444
CLF,64.30166667,-149.1177778
CLG,36.16055556,-120.3594444
CLI,44.61305556,-88.73111111
CLK,35.53777778,-98.93166667
CLL,30.58944444,-96.36444444
CLM,48.11888889,-123.4936111
CLO,3.54611111,-76.385
CLP,58.84305556,-158.5430556
CLQ,19.27694444,-103.5775
CLR,33.12972222,-115.5216667
CLS,46.67388889,-122.9811111
CLT,35.21916667,-80.93583333
CLU,39.26194444,-85.89638889
CME,18.65,-91.8
CMH,39.99111111,-82.87833333
CMI,40.03972222,-88.27972222
CMN,33.36666667,-7.58666667
CMU,-6.02722222,144.9744444
CMV,-36.79333333,175.5166667
CMX,47.16777778,-88.48638889
CNA,31.00833333,-110.2536111
CNE,38.43055556,-105.1083333
CNK,39.5425,-97.65166667
CNL,57.50361111,10.22944444
CNM,32.33722222,-104.2627778
CNO,33.97083333,-117.6413889
CNQ,-27.44972222,-58.76222222
CNW,31.63666667,-97.07222222
CNY,38.75944444,-109.7461111
CO3,36.68194444,-121.7622222
CO4,4.24472222,-74.64972222
COA,38.03055556,-120.4144444
COC,-31.29722222,-57.99638889
COD,44.51583333,-109.0275
COE,47.775,-116.8177778
COF,28.23916667,-80.60777778
COG,5.07916667,-76.66333333
COH,26.33111111,89.47194444
COK,9.94444444,76.27194444
COM,31.84111111,-99.40361111
CON,43.20333333,-71.50222222
COR,-31.31305556,-64.19944444
COS,38.80888889,-104.7091667
COT,28.45694444,-99.21861111
COU,38.81361111,-92.21916667
CPB,8.63138889,-77.35111111
CPC,-40.07583333,-71.13805556
CPE,19.835,-90.50944444
CPH,55.60805556,12.63333333
CPN,-10.18166667,148.3791667
CPR,42.90861111,-106.4625
CPS,38.57138889,-90.15722222
CQL,39.38888889,-107.1594444
CQW,34.71083333,-79.96166667
CRC,4.76666667,-75.93333333
CRD,-45.78722222,-67.46277778
CRE,33.81166667,-78.72416667
CRG,30.33638889,-81.51444444
CRP,27.77,-97.50083333
CRR,-29.86666667,-61.95
CRS,32.0275,-96.39805556
CRW,38.37277778,-81.59305556
CRX,34.915,-88.60361111
CSE,38.85194444,-106.9322222
CSG,32.51611111,-84.93888889
CSM,35.33972222,-99.20027778
CSN,39.19166667,-119.7347222
CSP,58.19916667,-136.6388889
CSR,5.68194444,-67.64083333
CSU,69.02694444,-163.8541667
CSV,35.95111111,-85.08472222
CTB,48.60833333,-112.3761111
CTC,-28.44833333,-65.77972222
CTG,10.44666667,-75.51055556
CTH,39.97888889,-75.86583333
CTM,18.48194444,-88.33333333
CTO,40.915,-72.79194444
CTW,34.73,-112.0344444
CTX,42.59305556,-76.21527778
CTY,29.63416667,-83.10611111
CUB,33.97083333,-80.99555556
CUC,7.93,-72.50944444
CUL,24.76444444,-107.4741667
CUT,-38.93833333,-69.27166667
CUU,28.70222222,-105.9630556
CUW,57.94166667,-134.75
CVA,40.48333333,-80.21666667
CVG,39.04777778,-84.66861111
CVJ,18.83444444,-99.26194444
CVL,-9.66972222,150.0186111
CVM,23.71388889,-98.96527778
CVN,34.42722222,-103.0788889
CVO,44.49722222,-123.2869444
CVS,34.385,-103.3238889
CVX,45.30416667,-85.275
CWA,44.78222222,-89.65916667
CWI,41.82944444,-90.33194444
CWS,48.49,-122.8322222
CXC,61.58333333,-144.4277778
CXF,67.24944444,-150.2061111
CXH,49.3,-123.1333333
CXL,32.66944444,-115.5125
CXO,30.35194444,-95.41444444
CXP,-7.64194444,109.0319444
CYB,19.68666667,-79.88472222
CYF,60.14916667,-164.2855556
CYM,57.51527778,-134.9444444
CYS,41.15583333,-104.8122222
CYT,60.08,-142.4944444
CZA,20.695,-88.56555556
CZC,61.94111111,-145.2941667
CZF,61.78111111,-166.0363889
CZL,36.27694444,6.63
CZM,20.51666667,-86.93333333
CZN,62.07055556,-142.0477778
CZO,62.56361111,-144.6688889
CZP,55.965,-133.7933333
CZU,9.3375,-75.28277778
DAB,29.1825,-81.05277778
DAF,-4.73972222,145.9525
DAG,34.85388889,-116.7861111
DAL,32.84694444,-96.85333333
DAN,36.57305556,-79.335
DAU,-9.08722222,143.1933333
DAV,8.39111111,-82.43555556
DAY,39.90111111,-84.22
DBN,32.56416667,-82.98666667
DBQ,42.41,-90.71083333
DCA,38.85166667,-77.03694444
DCK,66.94388889,-156.9019444
DCU,34.65277778,-86.94527778
DDC,37.76166667,-99.965
DEA,29.96111111,70.48583333
DEC,39.83416667,-88.86861111
DEH,43.27472222,-91.73888889
DEL,28.57361111,77.10083333
DEN,39.77444444,-104.8797222
DET,42.40666667,-83.00833333
DFI,41.33722222,-84.42888889
DFW,32.89444444,-97.02972222
DGB,58.13333333,-152.55
DGO,24.125,-104.525
DGW,42.79722222,-105.3861111
DHI,28.75527778,80.58333333
DHN,31.32,-85.44833333
DHT,36.0225,-102.5472222
DIB,27.48388889,95.02083333
DIE,-12.34611111,49.2925
DIK,46.79666667,-102.7963889
DIO,65.75,-168.95
DIS,-4.20555556,12.66138889
DIU,20.71388889,70.92166667
DIV,5.83333333,-5.36666667
DJB,-1.63472222,103.6416667
DJG,24.29277778,9.4525
DJJ,-2.575,140.5138889
DJN,64.05055556,-145.7172222
DJO,6.86694444,-6.46666667
DK1,55.43638889,9.33083333
DKK,42.49333333,-79.27194444
DLA,4.01333333,9.70916667
DLF,29.35972222,-100.7772222
DLG,59.04166667,-158.5066667
DLH,46.8425,-92.19027778
DLL,34.44916667,-79.36861111
DLO,55.12222222,-132.05
DLS,45.61944444,-121.1647222
DMA,32.16638889,-110.8825
DMN,32.2625,-107.7188889
DMO,38.7075,-93.17583333
DMU,25.88388889,93.77361111
DNC,56.75694444,-133.2216667
DNE,33.07888889,-96.73833333
DNL,33.46694444,-82.03833333
DNN,34.72194444,-84.86916667
DNV,40.19722222,-87.59694444
DOF,55.23333333,-132.2166667
DOV,39.12694444,-75.46444444
DPA,41.91555556,-88.24666667
DPG,40.19944444,-112.9366667
DPS,-8.74861111,115.165
AA8,70.1375,-147.0305556
DQC,27.81277778,-80.49555556
DQD,42.64166667,-111.58
DQE,32.84027778,-115.2675
DQG,36.53722222,-86.92055556
A20,70.34833333,-150.9316667
DQI,39.17916667,-121.9933333
DQJ,47.39277778,-102.7708333
DQK,44.05,-75.73305556
DQL,61.18694444,-149.9652778
DQN,29.05444444,-80.94805556
DQO,32.41083333,-91.49861111
DQP,38.23638889,-89.35861111
DQQ,40.86916667,-100.0036111
1G4,35.98861111,-113.81
DQS,36.25972222,-113.2313889
DQU,55.77888889,-131.6013889
DQV,59.1025,-135.3822222
DQW,35.57222222,-113.2925
DQX,60.07472222,-143.0866667
DQY,28.46722222,-80.56666667
DQZ,58.91166667,-161.7138889
DRA,36.61944444,-116.0319444
DRE,46.01111111,-83.74583333
DRF,60.58944444,-152.1577778
DRG,66.08083333,-162.7333333
DRO,37.15,-107.7511111
DRT,29.37416667,-100.9272222
DRU,46.61666667,-113.2
DSI,30.4,-86.47138889
DSK,31.90972222,70.89722222
DSM,41.53388889,-93.65666667
DTA,39.38305556,-112.5055556
DTH,36.46388889,-116.8805556
DTL,46.82638889,-95.88611111
DTN,32.54027778,-93.745
DTO,33.20055556,-97.19416667
DTR,48.51,-122.8030556
DTT,42.31277778,-83.17861111
DTW,42.21666667,-83.34444444
DUA,33.93333333,-96.4
DUC,34.47222222,-97.95972222
DUD,-45.925,170.2
DUF,36.25333333,-75.78861111
DUG,31.46888889,-109.6030556
DUJ,41.17833333,-78.89888889
DUQ,48.75,-123.7166667
DUT,53.89583333,-166.5388889
DVK,64.51138889,-110.2894444
DVL,48.11305556,-98.9075
DVN,41.61138889,-90.58916667
DVT,33.68333333,-112.0833333
DWA,38.57916667,-121.8566667
DWH,30.06388889,-95.55972222
DWS,28.38361111,-81.55
DXR,41.37166667,-73.48027778
DYS,32.42,-99.85666667
DZA,-12.80472222,45.28111111
EAA,64.77666667,-141.1486111
EAG,67.56222222,-162.9752778
EAN,42.05555556,-104.9322222
EAR,40.72833333,-98.99888889
EAT,47.39972222,-120.2077778
EAU,44.86444444,-91.48722222
EBJ,55.52638889,8.5525
ECA,44.31333333,-83.42333333
ECG,36.25916667,-76.17305556
ECP,30.35777778,-85.79888889
ECS,43.88333333,-104.3125
ECU,29.94694444,-100.1738889
EDA,55.93638889,-133.6555556
EDE,36.02861111,-76.56972222
EDF,61.25361111,-149.7916667
EDW,34.9,-117.8666667
EED,34.75833333,-114.62
EEK,60.21666667,-162.0166667
