date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019-1,NK,Spirit Air Lines,CAK,"Akron, OH: Akron-Canton Regional",50,8,2.39,0,2.75,0,2.87,2,0,578,70,0,79,0,429
2019-1,NK,Spirit Air Lines,CLE,"Cleveland, OH: Cleveland-Hopkins International",222,24,5.37,1.52,11.92,0,5.19,4,0,1490,228,50,735,0,477
2019-1,NK,Spirit Air Lines,CMH,"Columbus, OH: John Glenn Columbus International",143,14,3.21,0.21,7.02,0,3.56,3,0,657,91,12,273,0,281
2019-1,NK,Spirit Air Lines,DEN,"Denver, CO: Denver International",235,44,5.85,0.08,25.94,0,12.13,0,0,2794,245,13,1735,0,801
2019-1,NK,Spirit Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",569,83,15.72,0.44,44.83,0,22,4,0,6176,1640,78,2361,0,2097
2019-1,NK,Spirit Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",944,118,31.52,1.27,58.41,0,26.8,17,5,9356,1929,804,3588,0,3035
2019-1,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",304,78,4.8,0.22,70.07,0.19,2.73,0,0,6571,359,35,5986,5,186
2019-1,NK,Spirit Air Lines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1701,282,42.78,7.81,172.37,0.6,58.44,12,0,23030,4959,597,11949,15,5510
2019-1,NK,Spirit Air Lines,GSO,"Greensboro/High Point, NC: Piedmont Triad International",36,5,2,0,1.12,0,1.88,0,0,142,54,0,25,0,63
2019-1,NK,Spirit Air Lines,IAG,"Niagara Falls, NY: Niagara Falls International",22,5,3.25,0,1.75,0,0,1,0,159,100,0,59,0,0
2019-1,NK,Spirit Air Lines,IAH,"Houston, TX: George Bush Intercontinental/Houston",543,59,10.99,2.13,30.94,0.29,14.65,5,0,3658,677,248,1506,19,1208
2019-1,NK,Spirit Air Lines,JAX,"Jacksonville, FL: Jacksonville International",62,8,2,1.59,3.91,0,0.5,2,0,912,244,178,481,0,9
2019-1,NK,Spirit Air Lines,LAS,"Las Vegas, NV: McCarran International",1267,184,38.29,6.95,93.57,0.21,44.97,8,0,11887,3511,385,4905,4,3082
2019-1,NK,Spirit Air Lines,LAX,"Los Angeles, CA: Los Angeles International",680,115,17.22,3.54,71.58,0,22.67,5,0,7019,2147,147,3297,0,1428
2019-1,NK,Spirit Air Lines,LBE,"Latrobe, PA: Arnold Palmer Regional",81,18,6.96,0.14,3.56,0,7.35,3,0,854,282,10,117,0,445
2019-1,NK,Spirit Air Lines,LGA,"New York, NY: LaGuardia",341,105,4.54,1.29,94.61,1.46,3.1,10,1,8266,251,310,7248,56,401
2019-1,NK,Spirit Air Lines,MCI,"Kansas City, MO: Kansas City International",132,20,2.22,1,13.14,0,3.64,1,0,741,164,41,403,0,133
2019-1,NK,Spirit Air Lines,MCO,"Orlando, FL: Orlando International",1335,210,37.43,5.12,127.84,0.2,39.41,10,0,13453,2583,283,5390,11,5186
2019-1,NK,Spirit Air Lines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",349,45,12.36,1.02,16.5,0,15.12,11,0,3078,1410,60,847,0,761
2019-1,NK,Spirit Air Lines,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",416,52,15.32,1.14,22.38,0,13.16,4,1,3277,663,127,1255,0,1232
2019-1,NK,Spirit Air Lines,MYR,"Myrtle Beach, SC: Myrtle Beach International",190,35,8.16,0.27,23.48,1.05,2.04,2,0,2495,842,15,1486,48,104
2019-1,NK,Spirit Air Lines,OAK,"Oakland, CA: Metropolitan Oakland International",165,19,2.54,0.23,11.57,0,4.67,0,0,1064,125,6,543,0,390
2019-1,NK,Spirit Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",734,169,30.03,9.67,102.04,0,27.26,34,0,19955,2417,4226,11015,0,2297
2019-1,NK,Spirit Air Lines,PBG,"Plattsburgh, NY: Plattsburgh International",21,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-1,NK,Spirit Air Lines,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",79,18,5.56,0.2,7.07,0,5.18,2,0,1267,614,32,316,0,305
2019-1,NK,Spirit Air Lines,PDX,"Portland, OR: Portland International",55,8,2.42,0,3,0,2.58,0,1,503,202,0,189,0,112
2019-1,NK,Spirit Air Lines,PHL,"Philadelphia, PA: Philadelphia International",284,40,11,0,16.1,1.59,11.31,1,0,2864,1143,0,820,48,853
2019-1,NK,Spirit Air Lines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",93,17,2.75,1.2,5.56,0,7.49,3,0,1802,170,898,252,0,482
2019-1,NK,Spirit Air Lines,PIT,"Pittsburgh, PA: Pittsburgh International",180,18,5.14,0,7.24,0.11,5.5,0,0,2312,321,0,354,4,1633
2019-1,NK,Spirit Air Lines,RIC,"Richmond, VA: Richmond International",62,7,1.71,0,1.33,0,3.96,0,0,553,54,0,105,0,394
2019-1,NK,Spirit Air Lines,RSW,"Fort Myers, FL: Southwest Florida International",493,87,15.57,4.83,57.15,0,9.45,9,2,6084,1190,323,3537,0,1034
2019-1,NK,Spirit Air Lines,SAN,"San Diego, CA: San Diego International",143,25,3.73,0,10.63,0,10.64,1,0,1314,128,0,357,0,829
2019-1,NK,Spirit Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",103,13,4.52,0,6.71,0,1.78,0,0,649,270,0,312,0,67
2019-1,NK,Spirit Air Lines,SJU,"San Juan, PR: Luis Munoz Marin International",193,36,10.45,0.06,17.52,0,7.97,0,0,1307,343,7,539,0,418
2019-1,NK,Spirit Air Lines,STT,"Charlotte Amalie, VI: Cyril E King",45,2,0.09,0,0.91,0,1,0,0,100,7,0,75,0,18
2019-1,NK,Spirit Air Lines,TPA,"Tampa, FL: Tampa International",654,67,14.54,4.8,36.47,0,11.2,11,1,3367,663,496,1349,0,859
2019-1,OH,PSA Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",85,13,6.99,0,3.36,0,2.66,6,0,607,472,0,68,0,67
2019-1,OH,PSA Airlines Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",115,9,4.24,0,1.25,0,3.51,0,0,359,180,0,28,0,151
2019-1,OH,PSA Airlines Inc.,ALB,"Albany, NY: Albany International",115,33,11.83,2.37,6.21,1,11.59,10,1,2301,804,235,259,30,973
2019-1,OH,PSA Airlines Inc.,ART,"Watertown, NY: Watertown International",62,10,3.95,2,2.21,0,1.84,16,3,507,113,203,53,0,138
2019-1,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",145,23,7.39,0,10.42,0,5.19,2,0,1246,444,0,516,0,286
2019-1,OH,PSA Airlines Inc.,AVL,"Asheville, NC: Asheville Regional",178,18,8.71,2.33,5.9,0,1.07,8,2,768,273,307,165,0,23
2019-1,OH,PSA Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",92,11,3.81,0,3.58,0,3.61,4,0,249,87,0,68,0,94
2019-1,OH,PSA Airlines Inc.,BDL,"Hartford, CT: Bradley International",184,32,11.88,0.37,6.97,0,12.78,15,2,1759,734,23,271,0,731
2019-1,OH,PSA Airlines Inc.,BGR,"Bangor, ME: Bangor International",47,14,4.74,1.05,4.17,0.1,3.94,5,0,664,140,97,125,7,295
2019-1,OH,PSA Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",258,43,16.41,0.34,15.03,0,11.21,5,0,1977,730,20,428,0,799
2019-1,OH,PSA Airlines Inc.,BNA,"Nashville, TN: Nashville International",104,8,1.91,0,1.27,0,4.82,4,0,371,92,0,87,0,192
2019-1,OH,PSA Airlines Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",27,5,1.68,0,0.61,0,2.71,0,0,323,68,0,27,0,228
2019-1,OH,PSA Airlines Inc.,BTV,"Burlington, VT: Burlington International",94,13,2.34,0.12,4.12,0,6.43,10,0,715,63,27,109,0,516
2019-1,OH,PSA Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",32,3,1,0,0.62,0,1.38,3,0,69,19,0,21,0,29
2019-1,OH,PSA Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9,1,1,0,0,0,0,1,0,18,18,0,0,0,0
2019-1,OH,PSA Airlines Inc.,CAE,"Columbia, SC: Columbia Metropolitan",203,29,9.95,0.75,7.76,0,10.54,3,0,1508,444,47,342,0,675
2019-1,OH,PSA Airlines Inc.,CAK,"Akron, OH: Akron-Canton Regional",261,57,19.34,0.24,10.35,0,27.07,3,2,3672,1044,4,341,0,2283
2019-1,OH,PSA Airlines Inc.,CHA,"Chattanooga, TN: Lovell Field",171,29,11.57,0,3.97,0,13.46,2,0,1570,681,0,102,0,787
2019-1,OH,PSA Airlines Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",117,10,3.67,2.78,1.56,0,1.99,2,0,659,166,376,41,0,76
2019-1,OH,PSA Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",258,31,13.27,0,7.76,0.84,9.13,5,0,1661,703,0,280,16,662
2019-1,OH,PSA Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",63,2,1,0,1,0,0,2,0,224,193,0,31,0,0
2019-1,OH,PSA Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",228,34,13.1,3.12,7.68,0,10.09,3,1,1989,890,214,290,0,595
2019-1,OH,PSA Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",7376,841,204.67,35.89,244.96,1.94,353.54,149,3,49395,17141,2305,7680,57,22212
2019-1,OH,PSA Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",108,29,7.37,0.63,6.37,0,14.62,3,0,1238,449,17,193,0,579
2019-1,OH,PSA Airlines Inc.,CRW,"Charleston/Dunbar, WV: Yeager",197,49,16.75,3.27,5.38,0,23.6,7,3,2480,870,165,180,0,1265
2019-1,OH,PSA Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",391,46,13.68,0.82,12.71,0.27,18.51,3,0,2231,706,115,434,15,961
2019-1,OH,PSA Airlines Inc.,DAB,"Daytona Beach, FL: Daytona Beach International",133,19,6.16,0,9.43,0,3.41,0,0,554,161,0,266,0,127
2019-1,OH,PSA Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",571,117,27,11.67,26.92,0,51.41,29,1,7257,1632,633,1064,0,3928
2019-1,OH,PSA Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2673,514,103.44,21.79,140.87,1.44,246.46,189,7,36665,7888,1947,6316,134,20380
2019-1,OH,PSA Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",116,21,7.5,0.4,9.34,0,3.77,6,0,1005,316,52,326,0,311
2019-1,OH,PSA Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",107,10,3.04,0.19,3.38,0,3.38,6,0,948,272,16,186,0,474
2019-1,OH,PSA Airlines Inc.,EVV,"Evansville, IN: Evansville Regional",33,7,3.12,1,1,0,1.88,0,0,464,165,22,19,0,258
2019-1,OH,PSA Airlines Inc.,EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",126,18,6,0,3.72,0,8.28,2,0,758,311,0,75,0,372
2019-1,OH,PSA Airlines Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",101,15,8.51,0,2.4,0,4.08,0,0,579,270,0,50,0,259
2019-1,OH,PSA Airlines Inc.,GNV,"Gainesville, FL: Gainesville Regional",111,11,4.17,0,2.2,0,4.63,1,0,375,151,0,46,0,178
2019-1,OH,PSA Airlines Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",61,4,1.05,0,0.71,0.36,1.89,0,0,304,63,0,60,30,151
2019-1,OH,PSA Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",115,22,3.61,1.44,6.18,0,10.77,16,1,1638,293,112,314,0,919
2019-1,OH,PSA Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",272,52,21.31,1.08,5.88,0,23.72,7,0,2788,1141,56,219,0,1372
2019-1,OH,PSA Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",416,66,20.64,1.34,13.69,0,30.33,3,0,3546,1109,111,359,0,1967
2019-1,OH,PSA Airlines Inc.,HPN,"White Plains, NY: Westchester County",259,61,20.27,2.14,14.33,0.6,23.66,24,4,3486,1472,234,550,15,1215
2019-1,OH,PSA Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",133,17,6.53,0,1.59,0,8.88,0,0,886,302,0,45,0,539
2019-1,OH,PSA Airlines Inc.,HVN,"New Haven, CT: Tweed New Haven",69,12,5.27,0,2.1,0,4.63,5,1,1151,300,0,80,0,771
2019-1,OH,PSA Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",156,23,7.78,0,8.08,0,7.14,0,1,684,269,0,224,0,191
2019-1,OH,PSA Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",22,5,1.97,0,3.03,0,0,0,0,132,60,0,72,0,0
2019-1,OH,PSA Airlines Inc.,ILM,"Wilmington, NC: Wilmington International",215,26,9.49,1,6.38,0,9.13,2,0,1075,380,31,122,0,542
2019-1,OH,PSA Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",153,24,9.77,1.35,6.48,0,6.39,4,1,1418,712,72,202,0,432
2019-1,OH,PSA Airlines Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",4,2,0.88,0,0.92,0,0.19,0,0,122,51,0,60,0,11
2019-1,OH,PSA Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",140,25,12.86,0.42,8.42,0,3.3,0,0,1458,744,110,286,0,318
2019-1,OH,PSA Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",75,10,4.7,0,1.35,0,3.95,1,1,358,148,0,74,0,136
2019-1,OH,PSA Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",72,8,1.18,0.25,2.7,0,3.87,3,0,737,118,27,179,0,413
2019-1,OH,PSA Airlines Inc.,LAN,"Lansing, MI: Capital Region International",26,4,1.73,0.21,0.98,0,1.09,3,0,457,282,13,103,0,59
2019-1,OH,PSA Airlines Inc.,LEX,"Lexington, KY: Blue Grass",103,13,3.05,0.49,2.41,0,7.04,3,0,621,223,15,76,0,307
2019-1,OH,PSA Airlines Inc.,LGA,"New York, NY: LaGuardia",149,59,5.89,1.75,33.75,0.53,17.08,6,2,4222,295,92,2415,10,1410
2019-1,OH,PSA Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",104,10,4.41,0,3.59,0,2,1,0,317,167,0,78,0,72
2019-1,OH,PSA Airlines Inc.,LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",49,3,1,0,0,0,2,2,0,167,15,0,0,0,152
2019-1,OH,PSA Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",32,2,0.28,0,0,0,1.72,0,0,107,19,0,0,0,88
2019-1,OH,PSA Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International",57,3,1.53,0,0.31,0,1.16,4,0,103,52,0,10,0,41
2019-1,OH,PSA Airlines Inc.,MEM,"Memphis, TN: Memphis International",124,11,2.79,0,4.27,0,3.94,1,0,350,132,0,93,0,125
2019-1,OH,PSA Airlines Inc.,MGM,"Montgomery, AL: Montgomery Regional",26,5,1.11,0.56,0,0,3.32,1,0,516,59,44,0,0,413
2019-1,OH,PSA Airlines Inc.,MHT,"Manchester, NH: Manchester-Boston Regional",113,14,4.24,0.73,7.57,0,1.46,8,0,642,200,90,176,0,176
2019-1,OH,PSA Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",146,16,4.9,0.77,2.77,0,7.57,5,0,790,208,59,132,0,391
2019-1,OH,PSA Airlines Inc.,MLB,"Melbourne, FL: Melbourne International",93,15,7.19,0,2.34,0,5.48,0,0,761,506,0,40,0,215
2019-1,OH,PSA Airlines Inc.,MOB,"Mobile, AL: Mobile Regional",18,6,1.96,0,3.76,0,0.27,0,1,170,74,0,87,0,9
2019-1,OH,PSA Airlines Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",113,14,2.86,0,4.63,0,6.51,4,0,1029,169,0,151,0,709
2019-1,OH,PSA Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",7,2,0,0,0.35,0,1.65,1,0,167,0,0,11,0,156
2019-1,OH,PSA Airlines Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",236,20,10.14,0.6,2.06,0,7.2,1,0,893,350,63,103,0,377
2019-1,OH,PSA Airlines Inc.,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",174,26,8.68,0.84,8.08,0,8.4,1,1,796,203,28,216,0,349
2019-1,OH,PSA Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",36,3,0.93,0,1.09,0,0.99,0,1,189,24,0,29,0,136
2019-1,OH,PSA Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",62,12,5.38,0,4.71,0,1.91,1,0,434,182,0,164,0,88
2019-1,OH,PSA Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",140,16,6.98,0.34,5.67,0,3,22,0,721,234,11,339,0,137
2019-1,OH,PSA Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",435,71,22.49,2.33,22.14,0,24.05,2,0,3701,1398,79,812,0,1412
2019-1,OH,PSA Airlines Inc.,PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",30,4,2.21,0,0.58,0,1.21,0,0,112,78,0,11,0,23
2019-1,OH,PSA Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",1226,196,52.85,9.97,50.62,0.64,81.91,33,0,14471,5023,900,2116,16,6416
2019-1,OH,PSA Airlines Inc.,PIA,"Peoria, IL: General Downing - Peoria International",62,14,4.27,0,6.99,0,2.74,6,1,664,326,0,191,0,147
2019-1,OH,PSA Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",169,27,13.24,2.02,4.87,1,5.87,1,1,1795,981,204,192,16,402
2019-1,OH,PSA Airlines Inc.,PNS,"Pensacola, FL: Pensacola International",155,29,8.62,0,9.63,0,10.75,3,0,1558,556,0,320,0,682
2019-1,OH,PSA Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",192,46,13.54,4.58,13.78,0,14.11,6,1,2209,597,252,476,0,884
2019-1,OH,PSA Airlines Inc.,PWM,"Portland, ME: Portland International Jetport",110,22,6.08,0.82,3.87,0,11.23,10,0,1641,354,14,112,0,1161
2019-1,OH,PSA Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",167,41,12.89,2.25,5.99,0,19.88,6,0,2892,864,92,165,0,1771
2019-1,OH,PSA Airlines Inc.,RIC,"Richmond, VA: Richmond International",97,7,2.63,0,2.43,0,1.94,1,0,160,63,0,52,0,45
2019-1,OH,PSA Airlines Inc.,ROC,"Rochester, NY: Greater Rochester International",111,20,8.48,1.34,3.78,0,6.41,11,1,1449,679,111,203,0,456
2019-1,OH,PSA Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",4,2,0.11,0,1.89,0,0,0,0,54,3,0,51,0,0
2019-1,OH,PSA Airlines Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",327,53,17.57,1.9,15.47,0,18.06,5,0,2438,868,233,512,0,825
2019-1,OH,PSA Airlines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",186,23,10.94,1.94,3.23,0,6.89,3,0,1419,515,314,94,0,496
2019-1,OH,PSA Airlines Inc.,SHV,"Shreveport, LA: Shreveport Regional",62,11,6.41,1,2.32,0,1.27,0,0,319,183,16,99,0,21
2019-1,OH,PSA Airlines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",5,4,1.53,0,0.6,0,1.86,0,0,202,78,0,25,0,99
2019-1,OH,PSA Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",247,44,13.98,1.98,14.41,0,13.62,15,2,2913,961,206,608,0,1138
2019-1,OH,PSA Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",120,24,6.22,3.79,9.2,0,4.79,10,1,1208,361,173,307,0,367
2019-1,OH,PSA Airlines Inc.,TLH,"Tallahassee, FL: Tallahassee International",67,7,3.64,0,2.51,0,0.85,0,0,283,168,0,74,0,41
2019-1,OH,PSA Airlines Inc.,TOL,"Toledo, OH: Toledo Express",62,10,3,2.87,1.36,0,2.77,5,0,519,147,171,46,0,155
2019-1,OH,PSA Airlines Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-1,OH,PSA Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",31,2,0.91,0,1.09,0,0,0,1,61,40,0,21,0,0
2019-1,OH,PSA Airlines Inc.,TYS,"Knoxville, TN: McGhee Tyson",220,48,16.93,0.76,6.89,0,23.43,0,1,2791,746,90,288,0,1667
2019-1,OH,PSA Airlines Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",111,18,5.76,0.5,6.99,0.56,4.19,1,0,473,181,10,152,25,105
2019-1,OH,PSA Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",111,16,6.17,1,6,0,2.83,0,1,387,151,23,115,0,98
2019-1,OO,SkyWest Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",90,17,3.71,2.14,5.27,0,5.87,2,0,1150,280,109,191,0,570
2019-1,OO,SkyWest Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",152,26,9.38,0.53,6.18,0,9.91,4,0,1576,552,50,209,0,765
2019-1,OO,SkyWest Airlines Inc.,ABR,"Aberdeen, SD: Aberdeen Regional",62,9,2.98,1.56,1.46,0,3,2,0,1446,703,565,46,0,132
2019-1,OO,SkyWest Airlines Inc.,ABY,"Albany, GA: Southwest Georgia Regional",84,10,2.52,1.24,4.25,0,2,1,0,554,227,72,93,0,162
2019-1,OO,SkyWest Airlines Inc.,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",130,31,10.68,1,5.04,0,14.28,17,1,4187,2373,41,273,0,1500
2019-1,OO,SkyWest Airlines Inc.,ALB,"Albany, NY: Albany International",23,3,2,0.42,0.58,0,0,1,0,126,100,11,15,0,0
2019-1,OO,SkyWest Airlines Inc.,APN,"Alpena, MI: Alpena County Regional",54,7,1.99,1.18,0.53,0,3.3,4,4,615,403,83,16,0,113
2019-1,OO,SkyWest Airlines Inc.,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",920,307,77.84,15.05,113.44,0,100.67,52,50,28290,9491,3487,6876,0,8436
